"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Direct only",1,0.0383609249373138,0.00141518352542377,0.0368459469294968,0.00155508575024156,0.00151497800781693,0.000844676970970133,0.04,0.04,0,0,0
"Direct only",2,0.0410292359939316,0.00133585711950309,0.0403220798508546,0.00158176589852631,0.000707156143077034,0.000817797573542923,0.04,0.04,0,0,0
"Direct only",3,0.0397558299002995,0.00135375417169072,0.0399061376673438,0.00150247894365577,-0.000150307767044261,0.000762878627433709,0.04,0.04,0,0,0
"Direct only",4,0.0394275781379347,0.00135628488053175,0.0399556916495182,0.00147917285251028,-0.000528113511583497,0.000741517302992159,0.04,0.04,0,0,0
"Direct only",5,0.0372886881123942,0.00133845614828999,0.0383430203718686,0.00152338439225431,-0.00105433225947442,0.000728859976875038,0.04,0.04,0,0,0
"Direct only",6,0.0408547437115907,0.00143801687275128,0.0419578847814909,0.00155182938071925,-0.00110314106990028,0.000849320312510923,0.04,0.04,0,0,0
"Direct only",7,0.0400973418192205,0.0013331953455813,0.0414514473245885,0.00150458864572548,-0.00135410550536803,0.000823887945723853,0.04,0.04,0,0,0
"Direct only",8,0.0416649333198791,0.00132425420403002,0.0403580591038637,0.0015039170149128,0.00130687421601541,0.000784037968483279,0.04,0.04,0,0,0
"Direct only",9,0.0416412068058468,0.00141114058858149,0.0407222307846065,0.00164082521303303,0.000918976021240339,0.00081160101447391,0.04,0.04,0,0,0
"Direct only",10,0.0407189144763003,0.00134110590920708,0.0411483494494985,0.00147355162967737,-0.00042943497319818,0.000824450523029235,0.04,0.04,0,0,0
"Direct only",11,0.0408806678069204,0.00135958493113495,0.0401370451210576,0.00156495771681716,0.000743622685862861,0.000834745548436946,0.04,0.04,0,0,0
"Direct only",12,0.0414243862608454,0.0013081665208552,0.0429901321597774,0.00150771868886487,-0.00156574589893201,0.000763672308377913,0.04,0.04,0,0,0
"Direct only",13,0.040455934440654,0.00134652086948919,0.0392795423840886,0.00152114535185493,0.0011763920565654,0.000855850127933542,0.04,0.04,0,0,0
"Direct only",14,0.0391461936373406,0.00130941556848693,0.039538125314471,0.00149937060327448,-0.000391931677130436,0.000842681636562508,0.04,0.04,0,0,0
"Direct only",15,0.0401031749612538,0.00135900324852429,0.0403828713274583,0.00159308773346052,-0.000279696366204499,0.000813490510575734,0.04,0.04,0,0,0
"Direct only",16,0.0413358699162522,0.00129582274412519,0.0411965423187043,0.00152962277667783,0.000139327597547847,0.000790398756009941,0.04,0.04,0,0,0
"Direct only",17,0.0417477048777277,0.00147122732248332,0.0418175083489223,0.00161990199745099,-6.98034711946228e-05,0.000811730914531189,0.04,0.04,0,0,0
"Direct only",18,0.0404120292152111,0.00144197560469466,0.0403229530880534,0.00158486709256336,8.90761271576643e-05,0.000865418541546363,0.04,0.04,0,0,0
"Direct only",19,0.0366184965256621,0.00134989094273683,0.0369865793341741,0.00149941828571282,-0.000368082808511985,0.000790121774498804,0.04,0.04,0,0,0
