"scenario","component","target","truth","mean_est","sd_est","bias","rmse","coverage"
"Apparent only","total","total_true",0.0199,0.0196763609878429,0.00135317658381173,-0.000223639012157131,0.00135474134175517,0.925
"Apparent only","direct","direct_true",0,-0.000723160497616773,0.0039086678109685,-0.000723160497616773,0.00392666564153381,0.85
"Apparent only","apparent","apparent_true",0.0199,0.0203995214854596,0.00360205595292512,0.000499521485459638,0.00359165123936596,0.875
"Apparent only","apparent","residual_true",0.0199,0.0203995214854596,0.00360205595292512,0.000499521485459638,0.00359165123936596,0.875
"Confounded residual","total","total_true",0.0633,0.0632545924444666,0.00125459737597884,-4.54075555334227e-05,0.00123964755374953,0.975
"Confounded residual","direct","direct_true",0.03,0.029711254528872,0.00231445072425584,-0.000288745471127957,0.00230350581684312,0.95
"Confounded residual","apparent","apparent_true",0.0149,0.0335433379155945,0.00192107133533709,0.0186433379155945,0.0187395918000796,0
"Confounded residual","apparent","residual_true",0.0333,0.0335433379155945,0.00192107133533709,0.000243337915594519,0.00191245014045683,0.95
"Direct only","total","total_true",0.04,0.0401407224384003,0.00147065654424134,0.000140722438400331,0.00145895946105819,0.9
"Direct only","direct","direct_true",0.04,0.0400235457697476,0.00176515695807215,2.35457697476052e-05,0.00174311187613927,0.875
"Direct only","apparent","apparent_true",0,0.000117176668652724,0.000877439817050324,0.000117176668652724,0.000874290276972256,0.925
"Direct only","apparent","residual_true",0,0.000117176668652724,0.000877439817050324,0.000117176668652724,0.000874290276972256,0.925
"Mixed identifiable","total","total_true",0.0449,0.0450228130361104,0.00127674169504904,0.000122813036110447,0.00126664938472272,0.95
"Mixed identifiable","direct","direct_true",0.03,0.0302217587627004,0.00293596381429403,0.000221758762700357,0.00290750122608869,0.875
"Mixed identifiable","apparent","apparent_true",0.0149,0.0148010542734101,0.00269008469442031,-9.89457265899192e-05,0.00265808803999905,0.875
"Mixed identifiable","apparent","residual_true",0.0149,0.0148010542734101,0.00269008469442031,-9.89457265899192e-05,0.00265808803999905,0.875
